name,count,aliases,has fusion genres,influenced genres,subgenres,influenced by,subgenre of,fusion of
progressive rock,82603,"prog rock, prog-rock, progrock",,"occult rock, progressive electronic, progressive metal, rock andino, rock urbano, technical thrash metal, zeuhl, zolo","avant-prog, brutal prog, crossover prog, neo-progressive rock, symphonic prog","jazz, western classical","rock",
dance,81682,"","alternative dance","dance-pop","electro, eurobeat, eurodance",,,
r&b,80855,"rhythm and blues, rhythm & blues, rhythm 'n' blues, rhythm'n'blues, r'n'b, rnb","boogaloo","boogie, bro-country, funk, hard bop, mod, pluggnb, reggae, rock and roll, roots rock, sophisti-pop, soul, soul jazz, southern soul, timba, yacht rock, zydeco","blue-eyed soul, british rhythm & blues, contemporary r&b, doo-wop, new orleans r&b, quiet storm, swamp pop",,,
trance,76650,"",,"florida breaks, funkot, hard nrg, hardwave, manyao, melodic techno, peak time techno, progressive house, trance metal, trancestep, uk hardcore","acid trance, ambient trance, balearic trance, big room trance, dream trance, euro-trance, goa trance, hard trance, melodic trance, progressive trance, psytrance, tech trance, vocal trance","acid house, ebm, techno","edm",
psychedelic rock,74222,"psych rock, psych-rock",,"cumbia peruana, krautrock, occult rock, paisley underground, psychedelic soul, rock andino, stoner metal, stoner rock, traditional doom metal, tropicália","acid rock, canterbury scene, heavy psych, raga rock, space rock, zamrock","psychedelic","rock",
new wave,69471,"new-wave, newwave, nu wave, nu-wave, nuwave",,"dark wave, neo-acoustic, paisley underground, post-punk revival, sasscore, steampunk, zolo","neue deutsche welle, new romantic","electronic, pop rock, punk rock","rock",
noise,68099,"",,"death industrial, drone metal, gorenoise, industrial, musique concrète, noisecore, power noise, splittercore","black noise, harsh noise, power electronics",,"experimental",
instrumental,66817,"",,,,,,
latin,64337,"latin music",,"latin disco, latin funk, latin jazz, latin pop, latin rock, latin soul","bachata, boogaloo, rhumba",,,
idm,60891,"braindance, intelligent dance music","glitch hop","flashcore, glitch pop, hardvapour, microhouse, nortec","drill and bass",,"electronic",
blues rock,60447,"","desert blues","hard rock, heavy psych, metal, punk blues, southern rock, stoner metal, stoner rock, traditional doom metal","boogie rock",,,"blues, rock"
rock and roll,58966,"rock 'n roll, rock 'n' roll, rock'n'roll, rock & roll",,"beat music, cumbia mexicana, glam rock, punk rock, rautalanka, southern rock, surf rock, swamp pop, tropical rock, yé-yé","indorock, rockabilly","blues, r&b, traditional country","rock",
funk,57098,"","acid jazz, afrobeat, funk rock","boogie, burger-highlife, chicago house, dance-punk, disco, forró universitário, french house, funky house, hip hop, jazz-funk, madchester, manila sound, mobb music, new jack swing, qaraami, samba soul, songo, timba, ziglibithy","afro-funk, brit funk, deep funk, electro-funk, go-go, latin funk, p-funk, porn groove, synth funk","jazz, r&b, soul",,
disco,54384,"",,"burger-highlife, dance-pop, dance-punk, freestyle, french house, garage house, hip hop, house, kwaito, manila sound, minneapolis sound, nu disco, old school hip hop, township bubblegum, urban cowboy, vude","boogie, electro-disco, euro-disco, latin disco","funk, philly soul",,
drone,53921,"drone music",,"drone metal, free folk, space ambient, winter synth",,,,
post-rock,53570,"post rock, postrock",,"post-metal",,"ambient, jazz, slowcore","rock",
dark ambient,52148,"ambient industrial",,"dark jazz, death industrial, drone metal, martial industrial, minatory, psycore, winter synth","black ambient, ritual ambient",,,
singer-songwriter,49473,"",,"heartland rock","avtorskaya pesnya, euskal kantagintza berria, kleinkunst, liedermacher, música de intervenção, nova cançó, nueva canción",,,
electronica,48130,"",,,,,"electronic",
ballad,46838,"",,,"latin ballad",,,
drum and bass,45882,"d&b, d'n'b, dnb, drumandbass, drum & bass, drum 'n' bass, drum'n'bass","footwork jungle","artcore, breakcore, grime, hardcore breaks, nu skool breaks","atmospheric drum and bass, dancefloor drum and bass, darkstep, drill and bass, drumfunk, drumstep, dubwise, halftime, hardstep, jazzstep, jump up, jungle, liquid funk, minimal drum and bass, neurofunk, techstep, trancestep",,"edm",
dub,45341,"dub music, dub reggae","ambient dub","dub poetry, dub techno, dubwise, illbient, ragga jungle","novo dub",,"reggae",
doom metal,44915,"",,"sludge metal, stoner metal, stoner rock","death-doom metal, funeral doom metal, traditional doom metal",,"metal",
psychedelic,44493,"psychedelia, psychedelic music",,"burmese stereo, freakbeat, jesus music, psychedelic folk, psychedelic pop, psychedelic rock, sunshine pop","neo-psychedelia",,,
modern classical,44380,"",,"free improvisation, modern creative, zeuhl","expressionism, futurism, indeterminacy, microtonal classical, minimalism, musique concrète instrumentale, new complexity, post-minimalism, serialism, sonorism, spectralism, stochastic music, totalism",,"western classical",
post-punk,42723,"post punk, postpunk",,"c86, dance-rock, garage rock revival, gothic rock, könsrock, neo-acoustic, neue deutsche welle, space rock revival, zolo","coldwave, dance-punk, post-punk revival","punk rock","rock",
rockabilly,41647,"","psychobilly","cowpunk, swing revival",,"neo-rockabilly","rock and roll",
soft rock,41553,"",,"manila sound","yacht rock","baroque pop, country rock, folk pop","rock",
trip hop,41161,"trip-hop, triphop",,"barber beats",,"hip hop","downtempo",
indie pop,41159,"indie-pop, indiepop",,"indietronica, math pop, neo-acoustic, yakousei","bedroom pop, c86, chamber pop, donosti sound, twee pop",,"pop",
ebm,40142,"electronic body music",,"cyber metal, dark electro, electro-industrial, futurepop, makina, trance","new beat","electronic, industrial","post-industrial",
lo-fi,37902,"",,,,,"alternative rock",
easy listening,36279,"",,"mallsoft, sunshine pop, utopian virtual","cocktail nation, exotica, lounge, space age pop",,"pop",
thrash metal,35995,"thrash","crossover thrash","groove metal, stenchcore","technical thrash metal","hardcore punk, nwobhm, speed metal","metal",
dubstep,34581,"","wonky","dubstyle, halftime, hardcore breaks, riddim dubstep, trap edm","brostep, chillstep, dungeon sound, melodic dubstep, purple sound",,"edm",
contemporary jazz,34581,"",,,,,"jazz",
schlager,33183,"",,"dansband, dansktop, levenslied, rautalanka","volkstümliche musik",,"pop",
new age,32885,"",,"comfy synth, hypnagogic pop, utopian virtual","celtic new age, neoclassical new age",,,
swing,32070,"","electro swing","dansband, mbaqanga, texas blues, western swing","swing revival",,"jazz",
shoegaze,31524,"","blackgaze","witch house",,"dream pop, indie rock, neo-psychedelia, noise rock","alternative rock",
deep house,31419,"",,"afro house, amapiano, brazilian bass, lo-fi house, organic house, outsider house, progressive psytrance, tropical house",,,"house",
country rock,31065,"",,"heartland rock, soft rock, truck driving country",,,,"country, rock"
breakbeat,30940,"",,"baltimore club, breakstep, jersey club, nerdcore techno, wonky techno","acid breaks, big beat, breakbeat hardcore, breakbeat kota, florida breaks, nu skool breaks, progressive breaks",,"edm",
stoner rock,30887,"",,,"desert rock","blues rock, doom metal, psychedelic rock","hard rock",
avant-garde,30328,"",,"avant-folk, avant-garde jazz, avant-garde metal, avant-garde pop, avant-prog",,,,
garage rock,30192,"","garage punk","punk, punk rock","garage rock revival",,"rock",
art rock,29379,"art-rock",,,,,"rock",
progressive metal,29230,"prog metal, prog-metal",,,"djent","progressive rock","metal",
synthwave,28376,"",,"chillsynth","darksynth, sovietwave","electro-disco, house, italo-disco, progressive electronic, synth-pop","electronic",
punk rock,27701,"punk-rock","garage punk, psychobilly, ska punk","grebo, hamburger schule, mod revival, neue deutsche welle, new wave, no wave, post-punk, punk blues, swing revival, third wave ska","deathrock, gypsy punk, hardcore punk, horror punk, könsrock, oi, pop punk, queercore, riot grrrl, skate punk, surf punk, viking rock","garage rock, rock and roll, surf rock","punk",
progressive house,27004,"prog house, prog-house","big room house","dream trance, organic house, progressive breaks, progressive psytrance, progressive trance",,"trance","house",
vaporwave,26627,"",,"future funk, hexd","barber beats, broken transmission, dreampunk, hardvapour, mallsoft, utopian virtual, vaportrap",,"electronic",
tech house,26157,"",,"brazilian bass, future rave, hardgroove techno, melbourne bounce, midtempo bass, progressive psytrance","deep tech","techno","house",
ska,25128,"","ska punk, spouge","brega calypso, reggae, rocksteady, swing revival","2 tone, jamaican ska, third wave ska","calypso, jump blues, mento, new orleans r&b",,
chillout,24901,"chill out, chill-out",,,,,,
dark wave,24753,"darkwave",,"new beat, steampunk, witch house","ethereal wave, neoclassical dark wave","new wave, synth-pop",,
grunge,23762,"",,"post-grunge, riot grrrl",,,"alternative rock",
acoustic rock,23709,"rock acoustique",,,,,"rock",
grindcore,23137,"","deathgrind","powerviolence","cybergrind, goregrind, mincecore","thrashcore",,"hardcore punk, metal"
non-music,23088,"",,,,,,
emo,22832,"","emo pop, emo rap","screamo","emocore, midwest emo",,"alternative rock, post-hardcore",
comedy,22373,"",,"comedy hip hop, comedy rock, scrumpy and western","break-in, prank calls, sketch comedy, standup comedy",,,
progressive trance,22326,"",,"melodic trance",,"progressive house","trance",
dance-pop,22272,"","chalga, disco polo","freestyle, funk melody, hyperpop, k-pop, manele, modern laiko, semi-trot, tallava","romanian popcorn, tecnorumba, township bubblegum","dance, disco","pop",
power metal,21698,"",,"symphonic metal",,"heavy metal, speed metal","metal",
leftfield,21605,"",,,,,"electronic",
roots reggae,21232,"",,,,,"reggae",
psytrance,21043,"psychedelic trance",,"psybient, psystyle","dark psytrance, full-on, progressive psytrance, suomisaundi","acid trance, goa trance","trance",
baroque,20848,"baroque music",,"neoclassical new age",,,"western classical",
alternative metal,20778,"alt metal, alt-metal",,,"neue deutsche härte, nu metal, rap metal",,"metal",
breaks,20754,"",,,,,,
big band,20625,"big band music",,"samba de gafieira, soul","experimental big band",,"jazz",
europop,20547,"euro pop",,,,,"pop",
euro house,20214,"euro-house, eurohouse",,"hardbag",,,"house",
bluegrass,19655,"bluegrass music",,,"bluegrass gospel, progressive bluegrass",,"country",
contemporary classical,19148,"contemporary classical music",,,"post-classical",,"western classical",
orchestral,19140,"",,,,,,
smooth jazz,18900,"",,"mallsoft, utopian virtual",,"jazz fusion","jazz",
americana,18431,"",,"ambient americana",,"blues, contemporary folk, country",,
metalcore,18351,"","deathcore, electronicore",,"mathcore, melodic metalcore",,,"hardcore punk, metal"
pop punk,18242,"pop-punk, punk pop, punk-pop","emo pop",,"easycore","pop","punk rock",
chiptune,18158,"",,"kawaii future bass, nintendocore",,,"bit music",
space rock,17937,"","space rock revival","space disco",,,"psychedelic rock",
celtic,17259,"celtic music",,"celtic electronica, celtic metal, celtic new age, celtic punk, celtic rock, james bay fiddling","cape breton fiddling, irish folk",,"folk",
vocal jazz,17225,"",,"filin, idol kayō, traditional pop",,"blues","jazz",
glitch,17128,"",,"glitch pop, microhouse, psycore, wonky techno",,,"electronic",
power pop,16645,"powerpop",,"jangle pop, paisley underground",,,"pop rock",
post-hardcore,16562,"post hardcore, posthardcore","crunkcore","math rock, midwest emo, riot grrrl, sasscore","emo, emocore, nintendocore, screamo, swancore","experimental rock, hardcore punk","punk",
jungle,16388,"",,"breakcore, grime, nerdcore techno, speed garage","ragga jungle",,"drum and bass",
gangsta rap,16263,"gangster rap",,,,,"hip hop",
pop rap,16262,"pop hip hop, pop hip-hop, pop hiphop, pop-rap",,"funk ostentação","chicago bop","pop","hip hop",
club,16068,"club music",,,,,"electronic",
electropop,16047,"electro-pop",,"hyperpop, semi-trot",,"edm, synth-pop","pop",
gothic,16032,"",,,,,,
j-pop,16012,"",,"denpa, kawaii metal","akishibu-kei","city pop, idol kayō","pop",
opera,16010,"","opera-ballet","modinha, operatic pop","ballad opera, grand opera, opera buffa, opéra comique, opera semiseria, opera seria, operetta, singspiel, tragédie en musique, zeitoper",,"western classical",
contemporary r&b,15945,"contemporary rhythm and blues, contemporary rnb",,"afroswing, funk melody, k-pop, minneapolis sound, neo soul, reggae-pop","hip hop soul, new jack swing, uk street soul",,"r&b",
gospel,15288,"",,"country gospel, deep soul, hard bop, jersey sound, motown, soul, soul blues, soul jazz, southern soul","contemporary gospel, sacred steel, southern gospel, traditional black gospel","spirituals",,
hardcore punk,15181,"","crossover thrash, digital hardcore, grindcore, metalcore, rapcore","post-hardcore, screamo, skacore, sludge metal, thrash metal","beatdown hardcore, burning spirits, crust punk, d-beat, melodic hardcore, noisecore, powerviolence, sasscore, street punk, thrashcore, uk82",,"punk rock",
romantic classical,15135,"",,"lied",,,"western classical",
dream pop,15124,"dreampop",,"ambient pop, ethereal wave, shoegaze, witch house",,,"alternative rock",
progressive,15066,"progressive music",,,,,,
southern rock,14581,"",,"red dirt",,"blues rock, country, folk, hard rock, rock and roll","rock",
breakcore,14482,"",,,"lolicore, mashcore, raggacore","drum and bass, hardcore techno, jungle","edm",
krautrock,14343,"kosmische musik, kraut rock",,"berlin school, industrial",,"psychedelic rock","experimental rock",
jazz-funk,14215,"jazz funk",,,,"funk","jazz",
dancehall,14020,"",,"afroswing, bubbling, dembow, genge, merenhouse, raggacore, reggaeton, uk funky","flex dance music, ragga, shatta",,"reggae",
chanson française,13978,"",,"kleinkunst, música de intervenção, neo kyma","chanson à texte, chanson réaliste",,,
neofolk,13899,"apocalyptic folk",,"martial industrial","dark folk","post-industrial","contemporary folk",
free jazz,13803,"",,"conducted improvisation, free improvisation, modern creative",,,"jazz",
contemporary country,13534,"",,,"neo-traditional country",,"country",
melodic death metal,13172,"",,"melodic metalcore",,"heavy metal","death metal",
trap,12715,"",,"digicore, hexd, phonk, trap edm, vaportrap, wave","detroit trap, drill, plugg, sigilkore, trap metal, trap shaabi, tread",,"hip hop",
arena rock,12577,"",,"pop metal",,,"rock",
underground hip hop,12548,"underground hip-hop, underground hiphop, underground rap",,,,,"hip hop",
symphonic rock,12090,"",,,,"western classical","rock",
edm,12069,"electronic dance music","crunkcore, electronicore","digicore, electropop, flex dance music, funk mandelão, hexd, mahraganat, neue deutsche härte","artcore, balani show, baltimore club, bérite club, breakbeat, breakcore, broken beat, bubblegum bass, bubbling, budots, coupé-décalé, deconstructed club, drum and bass, dubstep, electroclash, electro latino, footwork, footwork jungle, freestyle, funkot, future bass, future rave, ghettotech, grime, hands up, hardcore techno, hard drum, hard nrg, hardstyle, house, jersey club, jumpstyle, jungle terror, kuduro, lento violento, manyao, midtempo bass, moombahcore, moombahton, nerdcore techno, nortec, philly club, rave, shangaan electro, singeli, spacesynth, techno, trance, trap edm, tribal guarachero, uk funky, uk garage",,"electronic",
britpop,12033,"brit pop",,"post-britpop",,,"alternative rock",
gothic metal,11926,"goth metal",,"symphonic metal",,"gothic rock","metal",
classic country,11832,"",,,,,"country",
jazz rock,11793,"jazz-rock",,"canterbury scene",,"jazz","rock",
electric blues,11740,"",,"british blues, sacred steel, southern soul","electric texas blues, swamp blues",,"blues",
industrial metal,11509,"",,"neue deutsche härte","cyber metal",,,"industrial, metal"
nu metal,11454,"nu-metal, numetal",,,,"funk metal, hip hop","alternative metal",
hard bop,11428,"",,"post-bop",,"bebop, gospel, r&b","jazz",
bebop,11343,"be bop, bop",,"hard bop, sacred steel",,,"jazz",
soul jazz,11275,"",,,,"gospel, r&b, soul","jazz",
concerto,11151,"",,,,,"western classical",
symphony,11003,"",,,"choral symphony",,"western classical",
math rock,10722,"",,"mathcore","math pop","noise rock, post-hardcore","rock",
cool jazz,10622,"",,,,,"jazz",
post-bop,10580,"post bop, postbop",,,,"avant-garde jazz, hard bop, modal jazz","jazz",
atmospheric black metal,10533,"atmo-black",,,,,"black metal",
post-metal,10527,"post metal, postmetal",,"neocrust",,"post-rock","metal",
chillwave,10408,"",,"chillsynth, cloud rap, witch house",,,"indietronica",
gothic rock,10357,"goth rock",,"deathrock, ethereal wave, gothic metal, visual kei",,"post-punk","rock",
speed metal,10352,"",,"power metal, thrash metal",,"nwobhm","heavy metal",
free improvisation,10351,"",,"conducted improvisation, free folk, modern creative, onkyo","eai","free jazz, modern classical",,
alternative country,9976,"alt country, alt-country",,,"gothic country",,"country",
filk,9907,"",,,,,"contemporary folk",
contemporary folk,9729,"","country folk, folk pop","americana, heartland rock, jesus music, nyū myūjikku, progressive country, slowcore","alternative folk, american primitive guitar, anti-folk, avant-folk, chamber folk, filk, indie folk, neofolk, progressive folk, psychedelic folk",,"folk",
indie folk,9709,"",,"slowcore",,"indie rock","contemporary folk",
symphonic metal,9695,"",,,,"gothic metal, power metal, western classical","metal",
sludge metal,9640,"sludge",,"neocrust, southern metal","atmospheric sludge metal","doom metal, hardcore punk","metal",
experimental rock,9576,"avant-rock",,"post-hardcore","krautrock, no wave",,"rock",
musical,9360,"musical theatre",,"rock opera","cabaret, chèo, industrial musical, minstrelsy, murga, music hall, revue, rock musical, vaudeville",,,
latin jazz,9310,"",,,"afro-cuban jazz","latin","jazz",
jazz fusion,9298,"",,"canterbury scene, smooth jazz",,,"jazz",
folk metal,9258,"folk-metal",,,"celtic metal, medieval metal","folk","metal",
stoner metal,9236,"",,"southern metal",,"blues rock, doom metal, psychedelic rock","metal",
experimental electronic,9189,"",,,"electroacoustic",,"electronic",
conscious hip hop,9079,"conscious hip-hop, conscious hiphop, conscious rap, rap conciencia",,,,,"hip hop",
doo-wop,8923,"doo wop, doowop",,,,,"r&b",
electro house,8860,"electro-house","big room house","big room trance, future house, midtempo bass, tribal guarachero","complextro, dutch house, fidget house, french electro, melbourne bounce",,"house",
neo soul,8784,"neo-soul, neosoul, nu soul, nu-soul, nusoul",,,,"contemporary r&b, hip hop","soul",
glam,8767,"",,,,,,
